ID,SEX,REGION,AGE,ETHNICITY,MARSTAT,BODY,HEIGHT_FT,HEIGHT_IN,SMOKING,DRINKING,LIVE_ALONE,LIVE_KIDS,LIVE_PAR,LIVE_PETS,LIVE_ROOM,LIVE_FAM,LIVE_PARTY,HAVEKIDS,WANTKIDS,EDUCATION,EMPSTAT,OCCUP,INCOME,RELIGION,SERVICES,POLITICS,LANG_ENGLISH,LANG_FRENCH,LANG_GERMAN,LANG_ITALIAN,LANG_SPANISH,LANG_PORTUGUESE,LANG_DUTCH,LANG_CHINESE,LANG_JAPANESE,LANG_ARABIC,LANG_RUSSIAN,LANG_HEBREW,LANG_HINDI,LANG_TAGALOG,LANG_URDU,D_MILES,D_YOUNGEST,D_OLDEST,D_MARSTAT_ANY,D_MARSTAT_SINGLE,D_MARSTAT_DIV,D_MARSTAT_WID,D_MARSTAT_SEP,D_BODY_ANY,D_BODY_SLIM,D_BODY_SLENDER,D_BODY_AVERAGE,D_BODY_ATH,D_BODY_FIT,D_BODY_THICK,D_BODY_EXTRA,D_BODY_LARGE,D_BODY_VOLUP,D_BODY_CURVY,D_MINHEIGHT_FT,D_MINHEIGHT_IN,D_MAXHEIGHT_FT,D_MAXHEIGHT_IN,D_EYES_ANY,D_EYES_BLACK,D_EYES_BLUE,D_EYES_BROWN,D_EYES_GRAY,D_EYES_GREEN,D_EYES_HAZEL,D_HAIR_ANY,D_HAIR_AUBURN,D_HAIR_BLACK,D_HAIR_BLONDE,D_HAIR_DARKBLONDE,D_HAIR_LIGHTBROWN,D_HAIR_DARKBROWN,D_HAIR_RED,D_HAIR_WHITE,D_HAIR_BALD,D_HAIR_LITGRAY,D_ETHNIC_ANY,D_ETHNIC_BLACK,D_ETHNIC_ASIAN,D_ETHNIC_WHITE,D_ETHNIC_EINDIAN,D_ETHNIC_LATINO,D_ETHNIC_MIDEAST,D_ETHNIC_NATIVE,D_ETHNIC_PACIFIC,D_ETHNIC_INTER,D_ETHNIC_OTHER,D_SMOKE_ANY,D_SMOKE_NO,D_SMOKE_OCC,D_SMOKE_OFTEN,D_DRINK_ANY,D_DRINK_NO,D_DRINK_SOCIAL,D_DRINK_REG,D_LIVING_ANY,D_LIVING_ALONE,D_LIVING_KIDS,D_LIVING_PARENTS,D_LIVING_PETS,D_LIVING_ROOMMATE,D_LIVING_FAMILY,D_LIVING_PARTY,D_KIDS_ANY,D_KIDS_NO,D_KIDS_HOMEFT,D_KIDS_HOMEPT,D_KIDS_NOTHOME,D_WANTKIDS_ANY,D_WANTKIDS_NO,D_WANTKIDS_YES,D_WANTKIDS_NOTSURE,D_EDUC,D_EMPSTAT_ANY,D_EMPSTAT_FT,D_EMPSTAT_PT,D_EMPSTAT_HOME,D_EMPSTAT_RETIRED,D_EMPSTAT_SELF,D_EMPSTAT_STUDENT,D_EMPSTAT_UNEMP,D_EMPSTAT_ATHOME,D_OCC_ANY,D_OCC_ART,D_OCC_BANK,D_OCC_CLER,D_OCC_COMP,D_OCC_CONSTR,D_OCC_EDUC,D_OCC_MEDIA,D_OCC_EXEC,D_OCC_TRAVEL,D_OCC_LEGAL,D_OCC_MANU,D_OCC_MED,D_OCC_POLITICS,D_OCC_SALES,D_OCC_TECH,D_OCC_TRANSPORT,D_OCC_FOOD,D_OCC_OTHER,D_INCOME,D_FAITH_ANY,D_FAITH_BUDDHIST,D_FAITH_CHRISTIAN,D_FAITH_HINDU,D_FAITH_JEWISH,D_FAITH_ISLAM,D_FAITH_AGNOSTIC,D_FAITH_PROTESTANT,D_FAITH_CATHOLIC,D_FAITH_ATHEIST,D_FAITH_LDS,D_FAITH_CHRISTIAN_OTHER,D_FAITH_NOTRELIG,D_FAITH_SPIRITUAL,D_FAITH_SCIENT,D_FAITH_OTHER,D_SERVICE_ANY,D_SERVICE_MORE,D_SERVICE_WEEKLY,D_SERVICE_MONTHLY,D_SERVICE_HOLIDAYS,D_SERVICE_RARELY,D_SERVICE_NEVER,D_POLITICS_ANY,D_POLITICS_VCONS,D_POLITICS_CONS,D_POLITICS_MIDDLE,D_POLITICS_LIB,D_POLITICS_VLIB,D_POLITICS_NOTPOL,D_LANG_ANY,D_LANG_ENGLISH,D_LANG_FRENCH,D_LANG_GERMAN,D_LANG_ITALIAN,D_LANG_SPANISH,D_LANG_PORTUGUESE,D_LANG_DUTCH,D_LANG_CHINESE,D_LANG_JAPANESE,D_LANG_ARABIC,D_LANG_RUSSIAN,D_LANG_HEBREW,D_LANG_HINDI,D_LANG_TAGALOG,D_LANG_URDU,PERMEX,PERPR,PERCUB,PEROTLAT,PERHIS,PERWHT,PERBLK,PERAMIND,PERASN,PERISLD,PEROTHRACE,PERMLTRAC,bodytype
1,0,0,36,0,1,4,5,5,0,1,0,0,0,0,1,0,0,0,99,2,0,3,99,11,99,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,27,37,1,99,99,99,99,0,1,1,1,1,1,0,0,0,0,0,5,6,6,4,1,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,99,99,99,99,99,99,99,1,99,99,99,99,1,99,99,99,99,1,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,1,99,99,99,99,99,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.619998931885,.460000008345,.330000013113,14.479999542236, ,28.5,9.529999732971,.2199999988079,10.939999580383,.2000000029802,.5099999904633,1.210000038147,5
2,0,0,35,0,0,1,5,2,0,1,1,0,0,0,0,0,0,0,1,4,0,6,99,11,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,45,1,99,99,99,99,0,0,0,0,1,0,0,0,0,0,0,3,0,7,11,1,99,99,99,99,99,99,0,0,0,0,0,0,1,0,0,0,0,1,99,99,99,99,99,99,99,99,99,99,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,33.619998931885,.460000008345,.330000013113,14.479999542236, ,28.5,9.529999732971,.2199999988079,10.939999580383,.2000000029802,.5099999904633,1.210000038147,4
3,0,0,28,0,0,1,5,9,99,1,1,0,0,0,1,0,0,0,99,99,1,17,99,99,99,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,27,38,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,6,1,6,5,1,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,1,99,99,99,1,99,99,99,0,1,0,0,0,1,0,0,1,99,99,99,99,0,0,1,0,99,1,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,1,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,33.619998931885,.460000008345,.330000013113,14.479999542236, ,28.5,9.529999732971,.2199999988079,10.939999580383,.2000000029802,.5099999904633,1.210000038147,5
4,0,0,24,0,0,3,5,7,99,1,0,0,0,0,1,0,0,0,2,2,0,0,99,11,4,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,30,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,6,0,7,11,1,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,0,0,0,1,0,0,0,0,0,1,1,1,99,99,99,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,99,99,99,2,0,1,0,0,0,0,0,0,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,1,99,99,99,99,99,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.619998931885,.460000008345,.330000013113,14.479999542236, ,28.5,9.529999732971,.2199999988079,10.939999580383,.2000000029802,.5099999904633,1.210000038147,6
5,0,0,39,0,0,2,5,10,0,1,1,0,0,0,0,0,0,0,2,2,4,8,99,5,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,35,47,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,6,0,7,0,1,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,99,99,99,99,99,99,99,0,0,0,1,1,1,99,99,99,3,0,1,0,0,1,1,0,0,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,99,99,99,99,99,99,1,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,45.700000762939,.20000000298,.419999986887,10.64999961853, ,3.049999952316,38.229999542236,0,.270000010729,.1899999976158,.5500000119209,.7400000095367,4
6,0,0,36,0,1,2,5,9,0,1,1,0,0,0,0,0,0,0,1,2,0,17,99,11,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35,40,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,6,0,7,10,1,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,99,99,99,99,99,99,99,0,1,0,0,0,0,0,1,1,99,0,1,0,0,0,1,0,0,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,99,99,99,99,99,99,1,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,33.619998931885,.460000008345,.330000013113,14.479999542236, ,28.5,9.529999732971,.2199999988079,10.939999580383,.2000000029802,.5099999904633,1.210000038147,4
7,0,0,49,0,1,2,5,3,0,1,1,0,0,0,0,0,0,3,0,2,0,7,99,10,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,38,52,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,9,6,3,1,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,99,99,99,99,99,99,99,0,1,0,1,1,0,1,0,0,2,0,1,0,0,0,1,0,0,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,1,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,33.619998931885,.460000008345,.330000013113,14.479999542236, ,28.5,9.529999732971,.2199999988079,10.939999580383,.2000000029802,.5099999904633,1.210000038147,4
8,0,0,27,0,0,5,5,5,1,1,1,0,0,1,0,0,0,0,1,2,0,17,99,11,4,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,22,34,1,99,99,99,99,0,0,0,0,1,1,1,0,0,0,0,5,6,7,11,1,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,1,99,99,99,1,99,99,99,0,1,1,0,1,1,1,0,1,99,99,99,99,1,99,99,99,99,1,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,1,99,99,99,99,99,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.619998931885,.460000008345,.330000013113,14.479999542236, ,28.5,9.529999732971,.2199999988079,10.939999580383,.2000000029802,.5099999904633,1.210000038147,6
9,0,0,37,0,0,3,5,5,0,0,1,0,0,0,0,0,0,0,1,3,0,1,99,11,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,37,45,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,5,9,6,9,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,99,99,99,99,1,99,99,99,2,0,1,0,0,0,1,0,0,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,99,99,99,99,99,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.090000152588,.129999995232,.589999973774,14.920000076294, ,3.94000005722,51.419998168945,.1500000059605,3.539999961853,.070000000298,.9300000071526,1.2300000190735,7
10,0,0,19,0,0,5,5,4,0,1,0,0,1,0,0,0,0,0,2,2,0,17,0,11,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,5,8,6,6,1,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,0,1,0,0,0,1,0,0,1,0,0,1,99,99,99,1,99,99,99,0,1,0,0,0,1,0,0,1,99,99,99,99,1,99,99,99,2,0,1,1,0,0,0,0,0,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99,1,99,99,99,99,99,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.619998931885,.460000008345,.330000013113,14.479999542236, ,28.5,9.529999732971,.2199999988079,10.939999580383,.2000000029802,.5099999904633,1.210000038147,7
